id_et_flight,friendly_id,departure_point,arrival_point,departure_time,arrival_time,et_flight_date,capacity,quantity,is_active
1,EE4731256873425,SKBO,SEQM,11:34,20:38,2020-06-08,280,0,1
2,22BED32EA6EE466,SEQM,SKBO,04:29,13:32,2020-06-08,260,0,1
3,8C5FCEAB0AA1490,SKBO,SEQM,23:34,08:37,2020-06-08,260,0,1
4,E8FA0468EEBA4E6,SEQM,SKBO,16:29,01:36,2020-06-08,220,0,1
5,AEF9943E0ABC418,SKBO,SVMI,05:05,14:06,2020-06-08,230,0,1
6,0592982D88F3497,SVMI,SKBO,01:27,10:38,2020-06-08,220,0,1
7,90CE520125684E4,SKBO,SVMI,17:05,02:15,2020-06-08,290,0,1
8,887D6FAF00B9403,SVMI,SKBO,13:27,22:29,2020-06-08,250,0,1
9,C7236F16CC124D3,SKBO,SBBR,00:51,11:54,2020-06-08,220,0,1
10,E220943D71984FE,SBBR,SKBO,00:02,11:09,2020-06-08,220,0,1
11,9B7324A5A4D5431,SKBO,SBBR,12:51,23:58,2020-06-08,290,0,1
12,811F3469E71E43B,SBBR,SKBO,12:02,23:08,2020-06-08,220,0,1
13,9C6BD7D7FE6541C,SKBO,SPIM,02:35,11:46,2020-06-08,260,0,1
14,4A04A8DE1F00470,SPIM,SKBO,11:06,20:09,2020-06-08,260,0,1
15,957A9C70032B493,SKBO,SPIM,14:35,23:44,2020-06-08,250,0,1
16,580A4B07E76A409,SPIM,SKBO,23:06,08:13,2020-06-08,290,0,1
17,E69BD639873943F,SKBO,SLLP,07:55,17:01,2020-06-08,240,0,1
18,4D48757E303D44D,SLLP,SKBO,06:23,16:25,2020-06-08,270,0,1
19,B38F5BC3BE0D48B,SKBO,SLLP,19:55,05:58,2020-06-08,290,0,1
20,328894A2C1C34D3,SLLP,SKBO,18:23,04:26,2020-06-08,230,0,1
21,DFA201B08F5E4FC,SKBO,SCEL,09:31,20:33,2020-06-08,210,0,1
22,B835C7E9A5BC45B,SCEL,SKBO,05:28,16:42,2020-06-08,270,0,1
23,C135BE5BCA234D5,SKBO,SCEL,21:31,08:38,2020-06-08,200,0,1
24,54993269ECDB43E,SCEL,SKBO,17:28,04:40,2020-06-08,210,0,1
25,0209F202949F469,SKBO,SABE,07:23,18:36,2020-06-08,260,0,1
26,28B57CE4CB734F0,SABE,SKBO,09:49,20:50,2020-06-08,280,0,1
27,69093CDD2E9543F,SKBO,SABE,19:23,06:28,2020-06-08,290,0,1
28,5600373535D1414,SABE,SKBO,21:49,08:54,2020-06-08,250,0,1
29,6EE43DA1373844C,SKBO,SGAS,00:46,10:50,2020-06-08,280,0,1
30,498AA81C163F4AD,SGAS,SKBO,04:02,14:15,2020-06-08,230,0,1
31,6862F30A9943453,SKBO,SGAS,12:46,22:57,2020-06-08,260,0,1
32,79F2DA91F2B54D3,SGAS,SKBO,16:02,02:02,2020-06-08,220,0,1
33,D38D5FC20F66414,SKBO,SUAA,01:10,11:16,2020-06-08,200,0,1
34,3FDD4623C1214C0,SUAA,SKBO,06:06,16:09,2020-06-08,210,0,1
35,0F718DBC21DA4A4,SKBO,SUAA,09:10,19:18,2020-06-08,250,0,1
36,48BC222FEF204D0,SUAA,SKBO,14:06,00:15,2020-06-08,220,0,1
37,181ADCEFDACB429,SKBO,SUAA,17:10,03:18,2020-06-08,210,0,1
38,8148B59B9AB64F5,SUAA,SKBO,22:06,08:15,2020-06-08,220,0,1
39,015B6E67B7B3458,SKBO,LATI,00:20,22:31,2020-06-08,350,0,1
40,D0F84A5190664FD,LATI,SKBO,10:56,08:09,2020-06-08,260,0,1
41,3B2DD5DD90ED4AC,SKBO,LATI,12:20,10:29,2020-06-08,250,0,1
42,24DE60600EAB4BD,LATI,SKBO,22:56,20:05,2020-06-08,350,0,1
43,386EEE2FC71E45C,SKBO,EDDI,07:17,04:29,2020-06-08,340,0,1
44,7E374EE3FABE41C,EDDI,SKBO,10:38,07:47,2020-06-08,300,0,1
45,E483EEA0CD6445B,SKBO,EDDI,19:17,16:28,2020-06-08,380,0,1
46,41A31AAD17CC408,EDDI,SKBO,22:38,19:41,2020-06-08,320,0,1
47,7082BE8195CB458,SKBO,LOWW,07:18,04:30,2020-06-08,260,0,1
48,228A634B4D8C43D,LOWW,SKBO,00:30,21:41,2020-06-08,310,0,1
49,D6349BBC8F2D467,SKBO,LOWW,19:18,16:26,2020-06-08,340,0,1
50,A675F39E9327429,LOWW,SKBO,12:30,09:36,2020-06-08,300,0,1
51,D7FEF1A111774C3,SKBO,EBCI,05:44,02:53,2020-06-08,340,0,1
52,9247A6C9A48F41A,EBCI,SKBO,04:30,01:32,2020-06-08,300,0,1
53,6815C724E52A4AC,SKBO,EBCI,17:44,14:47,2020-06-08,360,0,1
54,6AECC49BC3E940F,EBCI,SKBO,16:30,13:42,2020-06-08,340,0,1
55,924E67390963490,SKBO,UMMS,10:30,08:35,2020-06-08,300,0,1
56,718481720C474B3,UMMS,SKBO,05:36,03:38,2020-06-08,250,0,1
57,4A9ED0841EFD4FE,SKBO,UMMS,22:30,20:30,2020-06-08,380,0,1
58,976E008845324C9,UMMS,SKBO,17:36,15:40,2020-06-08,380,0,1
59,7E289A6A18FD4A8,SKBO,LBSF,04:50,02:54,2020-06-08,290,0,1
60,498E96808B864B9,LBSF,SKBO,10:21,08:22,2020-06-08,310,0,1
61,99B5D7388B4A402,SKBO,LBSF,16:50,14:00,2020-06-08,360,0,1
62,EBDEB67AE5054EC,LBSF,SKBO,22:21,20:33,2020-06-08,270,0,1
63,E76C7E99A4A0475,SKBO,LKPR,07:57,05:00,2020-06-08,270,0,1
64,FAF2CA110D97469,LKPR,SKBO,01:47,23:50,2020-06-08,330,0,1
65,559795EC2493493,SKBO,LKPR,15:57,13:02,2020-06-08,250,0,1
66,AF7770CB5E2B4AC,LKPR,SKBO,09:47,07:01,2020-06-08,250,0,1
